id,date,day,month,year,weekday,is_weekend,predicted_demand
7290019274490,6/10/2025,10,6,2025,2,0,1.751822923
7290019611325,6/10/2025,10,6,2025,2,0,1.743075963
7290103702489,6/10/2025,10,6,2025,2,0,4.188563173
7290103703370,6/10/2025,10,6,2025,2,0,4.206436629
7290103704155,6/10/2025,10,6,2025,2,0,4.177872247
7290103704179,6/10/2025,10,6,2025,2,0,4.207925141
7290103704919,6/10/2025,10,6,2025,2,0,4.177466375
7290107280099,6/10/2025,10,6,2025,2,0,1.225006438
7290108351699,6/10/2025,10,6,2025,2,0,1.971162957
7290108352702,6/10/2025,10,6,2025,2,0,1.208968874
7290108356298,6/10/2025,10,6,2025,2,0,1.943632344
7290108356700,6/10/2025,10,6,2025,2,0,1.218133708
7290108356717,6/10/2025,10,6,2025,2,0,1.929106928
7290108356724,6/10/2025,10,6,2025,2,0,1.932543946
7290108357240,6/10/2025,10,6,2025,2,0,1.764013249
7290108357288,6/10/2025,10,6,2025,2,0,4.191832048
7290108357844,6/10/2025,10,6,2025,2,0,1.957950439
7290108359077,6/10/2025,10,6,2025,2,0,1.209898348
7290108359176,6/10/2025,10,6,2025,2,0,1.215154432
7290108359190,6/10/2025,10,6,2025,2,0,1.213051479
8001090184375,6/10/2025,10,6,2025,2,0,1.420332929
8001090184412,6/10/2025,10,6,2025,2,0,4.154420216
8001841625362,6/10/2025,10,6,2025,2,0,1.771917084
8001841893990,6/10/2025,10,6,2025,2,0,1.215033416
8006540429327,6/10/2025,10,6,2025,2,0,4.154178471
8700216163811,6/10/2025,10,6,2025,2,0,4.144957442
8700216236034,6/10/2025,10,6,2025,2,0,1.440499183
8700216236751,6/10/2025,10,6,2025,2,0,1.757914572
4084500088917,6/11/2025,11,6,2025,3,0,4.20054304
4084500853836,6/11/2025,11,6,2025,3,0,4.191109067
7290000286921,6/11/2025,11,6,2025,3,0,1.322451418
7290000288024,6/11/2025,11,6,2025,3,0,4.229932218
7290000288307,6/11/2025,11,6,2025,3,0,1.215814532
7290000288659,6/11/2025,11,6,2025,3,0,1.213785889
7290000292915,6/11/2025,11,6,2025,3,0,1.950489869
7290000294780,6/11/2025,11,6,2025,3,0,4.179548872
7290000295367,6/11/2025,11,6,2025,3,0,1.766867751
7290000295541,6/11/2025,11,6,2025,3,0,1.21851256
7290001246610,6/11/2025,11,6,2025,3,0,1.773430595
7290005424700,6/11/2025,11,6,2025,3,0,1.977670353
7290005425110,6/11/2025,11,6,2025,3,0,1.904039041
7290005425196,6/11/2025,11,6,2025,3,0,1.761065152
7290012116025,6/11/2025,11,6,2025,3,0,1.96644374
7290012117534,6/11/2025,11,6,2025,3,0,1.758821314
7290013268204,6/11/2025,11,6,2025,3,0,1.229388382
7290013268891,6/11/2025,11,6,2025,3,0,1.776061657
7290013269003,6/11/2025,11,6,2025,3,0,1.744043247
7290014397453,6/11/2025,11,6,2025,3,0,1.771358185
7290019274483,6/11/2025,11,6,2025,3,0,1.762620087
7290019274490,6/11/2025,11,6,2025,3,0,1.751822923
7290019611325,6/11/2025,11,6,2025,3,0,1.743075963
7290103702489,6/11/2025,11,6,2025,3,0,4.188563173
7290103703370,6/11/2025,11,6,2025,3,0,4.206436629
7290103704155,6/11/2025,11,6,2025,3,0,4.177872247
7290103704179,6/11/2025,11,6,2025,3,0,4.207925141
7290103704919,6/11/2025,11,6,2025,3,0,4.177466375
7290107280099,6/11/2025,11,6,2025,3,0,1.225006438
7290108351699,6/11/2025,11,6,2025,3,0,1.971162957
7290108352702,6/11/2025,11,6,2025,3,0,1.208968874
7290108356298,6/11/2025,11,6,2025,3,0,1.943632344
7290108356700,6/11/2025,11,6,2025,3,0,1.218133708
7290108356717,6/11/2025,11,6,2025,3,0,1.929106928
7290108356724,6/11/2025,11,6,2025,3,0,1.932543946
7290108357240,6/11/2025,11,6,2025,3,0,1.764013249
7290108357288,6/11/2025,11,6,2025,3,0,4.191832048
7290108357844,6/11/2025,11,6,2025,3,0,1.957950439
7290108359077,6/11/2025,11,6,2025,3,0,1.209898348
7290108359176,6/11/2025,11,6,2025,3,0,1.215154432
7290108359190,6/11/2025,11,6,2025,3,0,1.213051479
8001090184375,6/11/2025,11,6,2025,3,0,1.420332929
8001090184412,6/11/2025,11,6,2025,3,0,4.154420216
8001841625362,6/11/2025,11,6,2025,3,0,1.771917084
8001841893990,6/11/2025,11,6,2025,3,0,1.215033416
8006540429327,6/11/2025,11,6,2025,3,0,4.154178471
8700216163811,6/11/2025,11,6,2025,3,0,4.144957442
8700216236034,6/11/2025,11,6,2025,3,0,1.440499183
8700216236751,6/11/2025,11,6,2025,3,0,1.757914572
4084500088917,6/12/2025,12,6,2025,4,0,4.20054304
4084500853836,6/12/2025,12,6,2025,4,0,4.191109067
7290000286921,6/12/2025,12,6,2025,4,0,1.322451418
7290000288024,6/12/2025,12,6,2025,4,0,4.229932218
7290000288307,6/12/2025,12,6,2025,4,0,1.215814532
7290000288659,6/12/2025,12,6,2025,4,0,1.213785889
7290000292915,6/12/2025,12,6,2025,4,0,1.950489869
7290000294780,6/12/2025,12,6,2025,4,0,4.179548872
7290000295367,6/12/2025,12,6,2025,4,0,1.766867751
7290000295541,6/12/2025,12,6,2025,4,0,1.21851256
7290001246610,6/12/2025,12,6,2025,4,0,1.773430595
7290005424700,6/12/2025,12,6,2025,4,0,1.977670353
7290005425110,6/12/2025,12,6,2025,4,0,1.904039041
7290005425196,6/12/2025,12,6,2025,4,0,1.761065152
7290012116025,6/12/2025,12,6,2025,4,0,1.96644374
7290012117534,6/12/2025,12,6,2025,4,0,1.758821314
7290013268204,6/12/2025,12,6,2025,4,0,1.229388382
7290013268891,6/12/2025,12,6,2025,4,0,1.776061657
7290013269003,6/12/2025,12,6,2025,4,0,1.744043247
7290014397453,6/12/2025,12,6,2025,4,0,1.771358185
7290019274483,6/12/2025,12,6,2025,4,0,1.762620087
7290019274490,6/12/2025,12,6,2025,4,0,1.751822923
7290019611325,6/12/2025,12,6,2025,4,0,1.743075963
7290103702489,6/12/2025,12,6,2025,4,0,4.188563173
7290103703370,6/12/2025,12,6,2025,4,0,4.206436629
7290103704155,6/12/2025,12,6,2025,4,0,4.177872247
7290103704179,6/12/2025,12,6,2025,4,0,4.207925141
7290103704919,6/12/2025,12,6,2025,4,0,4.177466375
7290107280099,6/12/2025,12,6,2025,4,0,1.225006438
7290108351699,6/12/2025,12,6,2025,4,0,1.971162957
7290108352702,6/12/2025,12,6,2025,4,0,1.208968874
7290108356298,6/12/2025,12,6,2025,4,0,1.943632344
7290108356700,6/12/2025,12,6,2025,4,0,1.218133708
7290108356717,6/12/2025,12,6,2025,4,0,1.929106928
7290108356724,6/12/2025,12,6,2025,4,0,1.932543946
7290108357240,6/12/2025,12,6,2025,4,0,1.764013249
7290108357288,6/12/2025,12,6,2025,4,0,4.191832048
7290108357844,6/12/2025,12,6,2025,4,0,1.957950439
7290108359077,6/12/2025,12,6,2025,4,0,1.209898348
7290108359176,6/12/2025,12,6,2025,4,0,1.215154432
7290108359190,6/12/2025,12,6,2025,4,0,1.213051479
8001090184375,6/12/2025,12,6,2025,4,0,1.420332929
8001090184412,6/12/2025,12,6,2025,4,0,4.154420216
8001841625362,6/12/2025,12,6,2025,4,0,1.771917084
8001841893990,6/12/2025,12,6,2025,4,0,1.215033416
8006540429327,6/12/2025,12,6,2025,4,0,4.154178471
8700216163811,6/12/2025,12,6,2025,4,0,4.144957442
8700216236034,6/12/2025,12,6,2025,4,0,1.440499183
8700216236751,6/12/2025,12,6,2025,4,0,1.757914572
4084500088917,6/13/2025,13,6,2025,5,1,8.297904957
4084500853836,6/13/2025,13,6,2025,5,1,8.083395602
7290000286921,6/13/2025,13,6,2025,5,1,3.517962843
7290000288024,6/13/2025,13,6,2025,5,1,8.286792103
7290000288307,6/13/2025,13,6,2025,5,1,3.392318214
7290000288659,6/13/2025,13,6,2025,5,1,3.393269393
7290000292915,6/13/2025,13,6,2025,5,1,4.131132604
7290000294780,6/13/2025,13,6,2025,5,1,8.251312035
7290000295367,6/13/2025,13,6,2025,5,1,3.557492614
7290000295541,6/13/2025,13,6,2025,5,1,3.388390877
7290001246610,6/13/2025,13,6,2025,5,1,3.639296911
7290005424700,6/13/2025,13,6,2025,5,1,4.223479618
7290005425110,6/13/2025,13,6,2025,5,1,4.263287996
7290005425196,6/13/2025,13,6,2025,5,1,3.600298064
7290012116025,6/13/2025,13,6,2025,5,1,4.283603418
7290012117534,6/13/2025,13,6,2025,5,1,3.594356183
7290013268204,6/13/2025,13,6,2025,5,1,3.368168202
7290013268891,6/13/2025,13,6,2025,5,1,3.579959515
7290013269003,6/13/2025,13,6,2025,5,1,3.57992043
7290014397453,6/13/2025,13,6,2025,5,1,3.611626263
7290019274483,6/13/2025,13,6,2025,5,1,3.608574899
7290019274490,6/13/2025,13,6,2025,5,1,3.662569046
7290019611325,6/13/2025,13,6,2025,5,1,3.557595311
7290103702489,6/13/2025,13,6,2025,5,1,8.29203175
7290103703370,6/13/2025,13,6,2025,5,1,8.11377307
7290103704155,6/13/2025,13,6,2025,5,1,8.328340638
7290103704179,6/13/2025,13,6,2025,5,1,8.300615908
7290103704919,6/13/2025,13,6,2025,5,1,8.124406941
7290107280099,6/13/2025,13,6,2025,5,1,3.363973237
7290108351699,6/13/2025,13,6,2025,5,1,4.094644387
7290108352702,6/13/2025,13,6,2025,5,1,3.374998951
7290108356298,6/13/2025,13,6,2025,5,1,4.238532916
7290108356700,6/13/2025,13,6,2025,5,1,3.396284464
7290108356717,6/13/2025,13,6,2025,5,1,3.771856031
7290108356724,6/13/2025,13,6,2025,5,1,4.239364073
7290108357240,6/13/2025,13,6,2025,5,1,3.53005234
7290108357288,6/13/2025,13,6,2025,5,1,8.201760133
7290108357844,6/13/2025,13,6,2025,5,1,4.16118072
7290108359077,6/13/2025,13,6,2025,5,1,3.36779972
7290108359176,6/13/2025,13,6,2025,5,1,3.381676058
7290108359190,6/13/2025,13,6,2025,5,1,3.3850441
8001090184375,6/13/2025,13,6,2025,5,1,3.444430308
8001090184412,6/13/2025,13,6,2025,5,1,8.194144931
8001841625362,6/13/2025,13,6,2025,5,1,3.647777474
8001841893990,6/13/2025,13,6,2025,5,1,3.35965189
8006540429327,6/13/2025,13,6,2025,5,1,8.255151078
8700216163811,6/13/2025,13,6,2025,5,1,8.332234927
8700216236034,6/13/2025,13,6,2025,5,1,3.501301155
8700216236751,6/13/2025,13,6,2025,5,1,3.646940129
4084500088917,6/14/2025,14,6,2025,6,1,8.297904957
4084500853836,6/14/2025,14,6,2025,6,1,8.083395602
7290000286921,6/14/2025,14,6,2025,6,1,3.517962843
7290000288024,6/14/2025,14,6,2025,6,1,8.286792103
7290000288307,6/14/2025,14,6,2025,6,1,3.392318214
7290000288659,6/14/2025,14,6,2025,6,1,3.393269393
7290000292915,6/14/2025,14,6,2025,6,1,4.131132604
7290000294780,6/14/2025,14,6,2025,6,1,8.251312035
7290000295367,6/14/2025,14,6,2025,6,1,3.557492614
7290000295541,6/14/2025,14,6,2025,6,1,3.388390877
7290001246610,6/14/2025,14,6,2025,6,1,3.639296911
7290005424700,6/14/2025,14,6,2025,6,1,4.223479618
7290005425110,6/14/2025,14,6,2025,6,1,4.263287996
7290005425196,6/14/2025,14,6,2025,6,1,3.600298064
7290012116025,6/14/2025,14,6,2025,6,1,4.283603418
7290012117534,6/14/2025,14,6,2025,6,1,3.594356183
7290013268204,6/14/2025,14,6,2025,6,1,3.368168202
7290013268891,6/14/2025,14,6,2025,6,1,3.579959515
7290013269003,6/14/2025,14,6,2025,6,1,3.57992043
7290014397453,6/14/2025,14,6,2025,6,1,3.611626263
7290019274483,6/14/2025,14,6,2025,6,1,3.608574899
7290019274490,6/14/2025,14,6,2025,6,1,3.662569046
7290019611325,6/14/2025,14,6,2025,6,1,3.557595311
7290103702489,6/14/2025,14,6,2025,6,1,8.29203175
7290103703370,6/14/2025,14,6,2025,6,1,8.11377307
7290103704155,6/14/2025,14,6,2025,6,1,8.328340638
7290103704179,6/14/2025,14,6,2025,6,1,8.300615908
7290103704919,6/14/2025,14,6,2025,6,1,8.124406941
7290107280099,6/14/2025,14,6,2025,6,1,3.363973237
7290108351699,6/14/2025,14,6,2025,6,1,4.094644387
7290108352702,6/14/2025,14,6,2025,6,1,3.374998951
7290108356298,6/14/2025,14,6,2025,6,1,4.238532916
7290108356700,6/14/2025,14,6,2025,6,1,3.396284464
7290108356717,6/14/2025,14,6,2025,6,1,3.771856031
7290108356724,6/14/2025,14,6,2025,6,1,4.239364073
7290108357240,6/14/2025,14,6,2025,6,1,3.53005234
7290108357288,6/14/2025,14,6,2025,6,1,8.201760133
7290108357844,6/14/2025,14,6,2025,6,1,4.16118072
7290108359077,6/14/2025,14,6,2025,6,1,3.36779972
7290108359176,6/14/2025,14,6,2025,6,1,3.381676058
7290108359190,6/14/2025,14,6,2025,6,1,3.3850441
8001090184375,6/14/2025,14,6,2025,6,1,3.444430308
8001090184412,6/14/2025,14,6,2025,6,1,8.194144931
8001841625362,6/14/2025,14,6,2025,6,1,3.647777474
8001841893990,6/14/2025,14,6,2025,6,1,3.35965189
8006540429327,6/14/2025,14,6,2025,6,1,8.255151078
8700216163811,6/14/2025,14,6,2025,6,1,8.332234927
8700216236034,6/14/2025,14,6,2025,6,1,3.501301155
8700216236751,6/14/2025,14,6,2025,6,1,3.646940129
4084500088917,6/15/2025,15,6,2025,7,0,4.20054304
4084500853836,6/15/2025,15,6,2025,7,0,4.191109067
7290000286921,6/15/2025,15,6,2025,7,0,1.322451418
7290000288024,6/15/2025,15,6,2025,7,0,4.229932218
7290000288307,6/15/2025,15,6,2025,7,0,1.215814532
7290000288659,6/15/2025,15,6,2025,7,0,1.213785889
7290000292915,6/15/2025,15,6,2025,7,0,1.950489869
7290000294780,6/15/2025,15,6,2025,7,0,4.179548872
7290000295367,6/15/2025,15,6,2025,7,0,1.766867751
7290000295541,6/15/2025,15,6,2025,7,0,1.21851256
7290001246610,6/15/2025,15,6,2025,7,0,1.773430595
7290005424700,6/15/2025,15,6,2025,7,0,1.977670353
7290005425110,6/15/2025,15,6,2025,7,0,1.904039041
7290005425196,6/15/2025,15,6,2025,7,0,1.761065152
7290012116025,6/15/2025,15,6,2025,7,0,1.96644374
7290012117534,6/15/2025,15,6,2025,7,0,1.758821314
7290013268204,6/15/2025,15,6,2025,7,0,1.229388382
7290013268891,6/15/2025,15,6,2025,7,0,1.776061657
7290013269003,6/15/2025,15,6,2025,7,0,1.744043247
7290014397453,6/15/2025,15,6,2025,7,0,1.771358185
7290019274483,6/15/2025,15,6,2025,7,0,1.762620087
7290019274490,6/15/2025,15,6,2025,7,0,1.751822923
7290019611325,6/15/2025,15,6,2025,7,0,1.743075963
7290103702489,6/15/2025,15,6,2025,7,0,4.188563173
7290103703370,6/15/2025,15,6,2025,7,0,4.206436629
7290103704155,6/15/2025,15,6,2025,7,0,4.177872247
7290103704179,6/15/2025,15,6,2025,7,0,4.207925141
7290103704919,6/15/2025,15,6,2025,7,0,4.177466375
7290107280099,6/15/2025,15,6,2025,7,0,1.225006438
7290108351699,6/15/2025,15,6,2025,7,0,1.971162957
7290108352702,6/15/2025,15,6,2025,7,0,1.208968874
7290108356298,6/15/2025,15,6,2025,7,0,1.943632344
7290108356700,6/15/2025,15,6,2025,7,0,1.218133708
7290108356717,6/15/2025,15,6,2025,7,0,1.929106928
7290108356724,6/15/2025,15,6,2025,7,0,1.932543946
7290108357240,6/15/2025,15,6,2025,7,0,1.764013249
7290108357288,6/15/2025,15,6,2025,7,0,4.191832048
7290108357844,6/15/2025,15,6,2025,7,0,1.957950439
7290108359077,6/15/2025,15,6,2025,7,0,1.209898348
7290108359176,6/15/2025,15,6,2025,7,0,1.215154432
7290108359190,6/15/2025,15,6,2025,7,0,1.213051479
8001090184375,6/15/2025,15,6,2025,7,0,1.420332929
8001090184412,6/15/2025,15,6,2025,7,0,4.154420216
8001841625362,6/15/2025,15,6,2025,7,0,1.771917084
8001841893990,6/15/2025,15,6,2025,7,0,1.215033416
8006540429327,6/15/2025,15,6,2025,7,0,4.154178471
8700216163811,6/15/2025,15,6,2025,7,0,4.144957442
8700216236034,6/15/2025,15,6,2025,7,0,1.440499183
8700216236751,6/15/2025,15,6,2025,7,0,1.757914572
4084500088917,6/16/2025,16,6,2025,1,0,4.20054304
4084500853836,6/16/2025,16,6,2025,1,0,4.191109067
7290000286921,6/16/2025,16,6,2025,1,0,1.322451418
7290000288024,6/16/2025,16,6,2025,1,0,4.229932218
7290000288307,6/16/2025,16,6,2025,1,0,1.215814532
7290000288659,6/16/2025,16,6,2025,1,0,1.213785889
7290000292915,6/16/2025,16,6,2025,1,0,1.950489869
7290000294780,6/16/2025,16,6,2025,1,0,4.179548872
7290000295367,6/16/2025,16,6,2025,1,0,1.766867751
7290000295541,6/16/2025,16,6,2025,1,0,1.21851256
7290001246610,6/16/2025,16,6,2025,1,0,1.773430595
7290005424700,6/16/2025,16,6,2025,1,0,1.977670353
7290005425110,6/16/2025,16,6,2025,1,0,1.904039041
7290005425196,6/16/2025,16,6,2025,1,0,1.761065152
7290012116025,6/16/2025,16,6,2025,1,0,1.96644374
7290012117534,6/16/2025,16,6,2025,1,0,1.758821314
7290013268204,6/16/2025,16,6,2025,1,0,1.229388382
7290013268891,6/16/2025,16,6,2025,1,0,1.776061657
7290013269003,6/16/2025,16,6,2025,1,0,1.744043247
7290014397453,6/16/2025,16,6,2025,1,0,1.771358185
7290019274483,6/16/2025,16,6,2025,1,0,1.762620087
7290019274490,6/16/2025,16,6,2025,1,0,1.751822923
7290019611325,6/16/2025,16,6,2025,1,0,1.743075963
7290103702489,6/16/2025,16,6,2025,1,0,4.188563173
7290103703370,6/16/2025,16,6,2025,1,0,4.206436629
7290103704155,6/16/2025,16,6,2025,1,0,4.177872247
7290103704179,6/16/2025,16,6,2025,1,0,4.207925141
7290103704919,6/16/2025,16,6,2025,1,0,4.177466375
7290107280099,6/16/2025,16,6,2025,1,0,1.225006438
7290108351699,6/16/2025,16,6,2025,1,0,1.971162957
7290108352702,6/16/2025,16,6,2025,1,0,1.208968874
7290108356298,6/16/2025,16,6,2025,1,0,1.943632344
7290108356700,6/16/2025,16,6,2025,1,0,1.218133708
7290108356717,6/16/2025,16,6,2025,1,0,1.929106928
7290108356724,6/16/2025,16,6,2025,1,0,1.932543946
7290108357240,6/16/2025,16,6,2025,1,0,1.764013249
7290108357288,6/16/2025,16,6,2025,1,0,4.191832048
7290108357844,6/16/2025,16,6,2025,1,0,1.957950439
7290108359077,6/16/2025,16,6,2025,1,0,1.209898348
7290108359176,6/16/2025,16,6,2025,1,0,1.215154432
7290108359190,6/16/2025,16,6,2025,1,0,1.213051479
8001090184375,6/16/2025,16,6,2025,1,0,1.420332929
8001090184412,6/16/2025,16,6,2025,1,0,4.154420216
8001841625362,6/16/2025,16,6,2025,1,0,1.771917084
8001841893990,6/16/2025,16,6,2025,1,0,1.215033416
8006540429327,6/16/2025,16,6,2025,1,0,4.154178471
8700216163811,6/16/2025,16,6,2025,1,0,4.144957442
8700216236034,6/16/2025,16,6,2025,1,0,1.440499183
8700216236751,6/16/2025,16,6,2025,1,0,1.757914572
4084500088917,6/17/2025,17,6,2025,2,0,4.20054304
4084500853836,6/17/2025,17,6,2025,2,0,4.191109067
7290000286921,6/17/2025,17,6,2025,2,0,1.322451418
7290000288024,6/17/2025,17,6,2025,2,0,4.229932218
7290000288307,6/17/2025,17,6,2025,2,0,1.215814532
7290000288659,6/17/2025,17,6,2025,2,0,1.213785889
7290000292915,6/17/2025,17,6,2025,2,0,1.950489869
7290000294780,6/17/2025,17,6,2025,2,0,4.179548872
7290000295367,6/17/2025,17,6,2025,2,0,1.766867751
7290000295541,6/17/2025,17,6,2025,2,0,1.21851256
7290001246610,6/17/2025,17,6,2025,2,0,1.773430595
7290005424700,6/17/2025,17,6,2025,2,0,1.977670353
7290005425110,6/17/2025,17,6,2025,2,0,1.904039041
7290005425196,6/17/2025,17,6,2025,2,0,1.761065152
7290012116025,6/17/2025,17,6,2025,2,0,1.96644374
7290012117534,6/17/2025,17,6,2025,2,0,1.758821314
7290013268204,6/17/2025,17,6,2025,2,0,1.229388382
7290013268891,6/17/2025,17,6,2025,2,0,1.776061657
7290013269003,6/17/2025,17,6,2025,2,0,1.744043247
7290014397453,6/17/2025,17,6,2025,2,0,1.771358185
7290019274483,6/17/2025,17,6,2025,2,0,1.762620087
7290019274490,6/17/2025,17,6,2025,2,0,1.751822923
7290019611325,6/17/2025,17,6,2025,2,0,1.743075963
7290103702489,6/17/2025,17,6,2025,2,0,4.188563173
7290103703370,6/17/2025,17,6,2025,2,0,4.206436629
7290103704155,6/17/2025,17,6,2025,2,0,4.177872247
7290103704179,6/17/2025,17,6,2025,2,0,4.207925141
7290103704919,6/17/2025,17,6,2025,2,0,4.177466375
7290107280099,6/17/2025,17,6,2025,2,0,1.225006438
7290108351699,6/17/2025,17,6,2025,2,0,1.971162957
7290108352702,6/17/2025,17,6,2025,2,0,1.208968874
7290108356298,6/17/2025,17,6,2025,2,0,1.943632344
7290108356700,6/17/2025,17,6,2025,2,0,1.218133708
7290108356717,6/17/2025,17,6,2025,2,0,1.929106928
7290108356724,6/17/2025,17,6,2025,2,0,1.932543946
7290108357240,6/17/2025,17,6,2025,2,0,1.764013249
7290108357288,6/17/2025,17,6,2025,2,0,4.191832048
7290108357844,6/17/2025,17,6,2025,2,0,1.957950439
7290108359077,6/17/2025,17,6,2025,2,0,1.209898348
7290108359176,6/17/2025,17,6,2025,2,0,1.215154432
7290108359190,6/17/2025,17,6,2025,2,0,1.213051479
8001090184375,6/17/2025,17,6,2025,2,0,1.420332929
8001090184412,6/17/2025,17,6,2025,2,0,4.154420216
8001841625362,6/17/2025,17,6,2025,2,0,1.771917084
8001841893990,6/17/2025,17,6,2025,2,0,1.215033416
8006540429327,6/17/2025,17,6,2025,2,0,4.154178471
8700216163811,6/17/2025,17,6,2025,2,0,4.144957442
8700216236034,6/17/2025,17,6,2025,2,0,1.440499183
8700216236751,6/17/2025,17,6,2025,2,0,1.757914572
4084500088917,6/18/2025,18,6,2025,3,0,4.20054304
4084500853836,6/18/2025,18,6,2025,3,0,4.191109067
7290000286921,6/18/2025,18,6,2025,3,0,1.322451418
7290000288024,6/18/2025,18,6,2025,3,0,4.229932218
7290000288307,6/18/2025,18,6,2025,3,0,1.215814532
7290000288659,6/18/2025,18,6,2025,3,0,1.213785889
7290000292915,6/18/2025,18,6,2025,3,0,1.950489869
7290000294780,6/18/2025,18,6,2025,3,0,4.179548872
7290000295367,6/18/2025,18,6,2025,3,0,1.766867751
7290000295541,6/18/2025,18,6,2025,3,0,1.21851256
7290001246610,6/18/2025,18,6,2025,3,0,1.773430595
7290005424700,6/18/2025,18,6,2025,3,0,1.977670353
7290005425110,6/18/2025,18,6,2025,3,0,1.904039041
7290005425196,6/18/2025,18,6,2025,3,0,1.761065152
7290012116025,6/18/2025,18,6,2025,3,0,1.96644374
7290012117534,6/18/2025,18,6,2025,3,0,1.758821314
7290013268204,6/18/2025,18,6,2025,3,0,1.229388382
7290013268891,6/18/2025,18,6,2025,3,0,1.776061657
7290013269003,6/18/2025,18,6,2025,3,0,1.744043247
7290014397453,6/18/2025,18,6,2025,3,0,1.771358185
7290019274483,6/18/2025,18,6,2025,3,0,1.762620087
7290019274490,6/18/2025,18,6,2025,3,0,1.751822923
7290019611325,6/18/2025,18,6,2025,3,0,1.743075963
7290103702489,6/18/2025,18,6,2025,3,0,4.188563173
7290103703370,6/18/2025,18,6,2025,3,0,4.206436629
7290103704155,6/18/2025,18,6,2025,3,0,4.177872247
7290103704179,6/18/2025,18,6,2025,3,0,4.207925141
7290103704919,6/18/2025,18,6,2025,3,0,4.177466375
7290107280099,6/18/2025,18,6,2025,3,0,1.225006438
7290108351699,6/18/2025,18,6,2025,3,0,1.971162957
7290108352702,6/18/2025,18,6,2025,3,0,1.208968874
7290108356298,6/18/2025,18,6,2025,3,0,1.943632344
7290108356700,6/18/2025,18,6,2025,3,0,1.218133708
7290108356717,6/18/2025,18,6,2025,3,0,1.929106928
7290108356724,6/18/2025,18,6,2025,3,0,1.932543946
7290108357240,6/18/2025,18,6,2025,3,0,1.764013249
7290108357288,6/18/2025,18,6,2025,3,0,4.191832048
7290108357844,6/18/2025,18,6,2025,3,0,1.957950439
7290108359077,6/18/2025,18,6,2025,3,0,1.209898348
7290108359176,6/18/2025,18,6,2025,3,0,1.215154432
7290108359190,6/18/2025,18,6,2025,3,0,1.213051479
8001090184375,6/18/2025,18,6,2025,3,0,1.420332929
8001090184412,6/18/2025,18,6,2025,3,0,4.154420216
8001841625362,6/18/2025,18,6,2025,3,0,1.771917084
8001841893990,6/18/2025,18,6,2025,3,0,1.215033416
8006540429327,6/18/2025,18,6,2025,3,0,4.154178471
8700216163811,6/18/2025,18,6,2025,3,0,4.144957442
8700216236034,6/18/2025,18,6,2025,3,0,1.440499183
8700216236751,6/18/2025,18,6,2025,3,0,1.757914572
4084500088917,6/19/2025,19,6,2025,4,0,4.20054304
4084500853836,6/19/2025,19,6,2025,4,0,4.191109067
7290000286921,6/19/2025,19,6,2025,4,0,1.322451418
7290000288024,6/19/2025,19,6,2025,4,0,4.229932218
7290000288307,6/19/2025,19,6,2025,4,0,1.215814532
7290000288659,6/19/2025,19,6,2025,4,0,1.213785889
7290000292915,6/19/2025,19,6,2025,4,0,1.950489869
7290000294780,6/19/2025,19,6,2025,4,0,4.179548872
7290000295367,6/19/2025,19,6,2025,4,0,1.766867751
7290000295541,6/19/2025,19,6,2025,4,0,1.21851256
7290001246610,6/19/2025,19,6,2025,4,0,1.773430595
7290005424700,6/19/2025,19,6,2025,4,0,1.977670353
7290005425110,6/19/2025,19,6,2025,4,0,1.904039041
7290005425196,6/19/2025,19,6,2025,4,0,1.761065152
7290012116025,6/19/2025,19,6,2025,4,0,1.96644374
7290012117534,6/19/2025,19,6,2025,4,0,1.758821314
7290013268204,6/19/2025,19,6,2025,4,0,1.229388382
7290013268891,6/19/2025,19,6,2025,4,0,1.776061657
7290013269003,6/19/2025,19,6,2025,4,0,1.744043247
7290014397453,6/19/2025,19,6,2025,4,0,1.771358185
7290019274483,6/19/2025,19,6,2025,4,0,1.762620087
7290019274490,6/19/2025,19,6,2025,4,0,1.751822923
7290019611325,6/19/2025,19,6,2025,4,0,1.743075963
7290103702489,6/19/2025,19,6,2025,4,0,4.188563173
7290103703370,6/19/2025,19,6,2025,4,0,4.206436629
7290103704155,6/19/2025,19,6,2025,4,0,4.177872247
7290103704179,6/19/2025,19,6,2025,4,0,4.207925141
7290103704919,6/19/2025,19,6,2025,4,0,4.177466375
7290107280099,6/19/2025,19,6,2025,4,0,1.225006438
7290108351699,6/19/2025,19,6,2025,4,0,1.971162957
7290108352702,6/19/2025,19,6,2025,4,0,1.208968874
7290108356298,6/19/2025,19,6,2025,4,0,1.943632344
7290108356700,6/19/2025,19,6,2025,4,0,1.218133708
7290108356717,6/19/2025,19,6,2025,4,0,1.929106928
7290108356724,6/19/2025,19,6,2025,4,0,1.932543946
7290108357240,6/19/2025,19,6,2025,4,0,1.764013249
7290108357288,6/19/2025,19,6,2025,4,0,4.191832048
7290108357844,6/19/2025,19,6,2025,4,0,1.957950439
7290108359077,6/19/2025,19,6,2025,4,0,1.209898348
7290108359176,6/19/2025,19,6,2025,4,0,1.215154432
7290108359190,6/19/2025,19,6,2025,4,0,1.213051479
8001090184375,6/19/2025,19,6,2025,4,0,1.420332929
8001090184412,6/19/2025,19,6,2025,4,0,4.154420216
8001841625362,6/19/2025,19,6,2025,4,0,1.771917084
8001841893990,6/19/2025,19,6,2025,4,0,1.215033416
